ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.9909704615088,2.963135381,0
3.71608007538699,129.4229205,18630.05786,6.635245884,,592.8853591,15.18001312,56.32907628451764,4.500656275,0
8.099124189298397,224.2362594,19909.54173,9.275883603,,418.6062131,16.86863693,66.42009251176368,3.05593375,0
8.316765884214679,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.34167436508008,4.628770537,0
9.092223456290965,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.997992727424737,4.075075425,0
5.584086638456089,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.917861841994466,2.559708228,0
10.223862164528773,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617402357,2.672988737,0
8.635848718500734,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.798308962925155,4.401424715,0
,118.9885791,14285.58385,7.804173553,268.6469407,389.3755659,12.70604897,53.928845767512236,3.595017181,0
11.180284470721592,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103221915,4.370561937,0
7.360640105838258,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566430479,3.662291783,0
7.974521648923869,218.6933005,18767.65668,8.110384501,,364.0982305,14.5257457,76.48591117965157,4.011718108,0
7.119824384264552,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.5007783369744,3.445756223,0
,150.1749234,27331.36196,6.838223471,299.4157813,379.7618348,19.37080718,76.5099955279583,4.413974183,0
7.49623220797336,205.3449822,28388.00489,5.072557774,,444.6453523,13.2283111,70.30021264692436,4.777382337,0
6.347271760539316,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161728663777,4.376348291,0
7.051785800016845,211.0494061,30980.60079,10.09479601,,315.1412672,20.39702184,56.65160378979331,4.268428858,0
9.181560007151536,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.4573622129516,4.503660796,0
8.975464347533963,279.3571668,19460.39813,6.204320859,,431.44399,12.88875905,63.82123709666397,2.43608559,0
7.371050302429531,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715266126,2.560299148,0
,227.4350484,22305.56741,10.33391789,,554.8200865,16.33169328,45.382815177870924,4.133422644,0
6.660212026118103,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.0423180517003,3.749701241,0
,215.9778587,17107.22423,5.607060453,326.9439777,436.256194,14.18906221,59.85547582615388,5.459250956,0
3.902475685915096,196.9032467,21167.5001,6.996311586,,444.4788825,16.60903316,90.1816758847452,4.528522696,0
5.400301780729467,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.9319064457562,4.82478639,0
6.514415093251676,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281372556,5.200885077,0
3.4450618643852127,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.284597198002704,4.184396969,0
,145.7681806,13224.93564,7.906444721,304.0019928,298.9906665,12.72952472,49.536848802021865,4.004871128,0
,266.4210181,26362.96501,7.70006347,395.3894903,364.4801067,10.34895076,53.00838135392041,3.991564248,0
,148.1530614,15193.41347,9.046832707,307.0117926,563.8047433,16.56865557,52.67618503420983,6.038184953,0
7.181448580829175,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.5379532557936,5.088859989,0
9.82548990813439,190.7566183,19677.89247,6.757540731,,452.8362349,16.8990378,47.081971185777654,2.857472426,0
10.433290982804381,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347838938281,5.057310517,0
7.414148196336244,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725226032,3.160624468,0
,232.280452,14787.20626,5.474914832,,383.981723,12.16693715,86.08072748444091,5.029166724,0
5.115817063771218,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132273568,3.902088768,0
3.641629777473381,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.5946567566564,3.464353035,0
